City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,85.08,40,72,21.09,broken clouds
1,Shingu,JP,33.7333,135.9833,47.7,72,2,3.74,clear sky
2,Atuona,PF,-9.8,-139.0333,78.62,72,6,17.02,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,46.11,65,38,12.35,scattered clouds
4,Stromness,GB,58.965,-3.296,42.76,56,86,23.44,overcast clouds
5,Chokurdakh,RU,70.6333,147.9167,-41.84,100,59,3.76,broken clouds
6,Inhambane,MZ,-23.865,35.3833,87.1,58,0,12.93,clear sky
7,Glendive,US,47.1053,-104.7125,31.62,85,90,25.32,overcast clouds
8,Bluff,NZ,-46.6,168.3333,50.81,66,100,14.45,overcast clouds
9,Saskylakh,RU,71.9167,114.0833,-16.92,96,100,13.31,overcast clouds
10,Nizwa,OM,22.9333,57.5333,76.37,39,2,6.51,clear sky
11,Ushuaia,AR,-54.8,-68.3,39.54,91,99,3.91,light rain
12,Pevek,RU,69.7008,170.3133,-22.54,99,93,2.62,overcast clouds
13,Luderitz,NA,-26.6481,15.1594,67.33,62,0,8.05,clear sky
14,Sulangan,PH,11.1373,123.7228,82.11,68,99,22.39,overcast clouds
15,Sisophon,KH,13.5859,102.9737,79.11,50,99,9.6,overcast clouds
16,Saint-Augustin,CA,51.226,-58.6502,19.31,66,0,12.53,clear sky
17,Krasnogorsk,RU,55.8225,37.3181,28.45,93,75,4.47,shower snow
18,Bowen,AU,-20.0167,148.2333,81.27,68,0,21.99,clear sky
19,Souillac,MU,-20.5167,57.5167,84.36,58,1,13.71,clear sky
20,Barrow,US,71.2906,-156.7887,5.02,72,90,21.85,haze
21,Mar Del Plata,AR,-38.0023,-57.5575,59.88,88,90,7.0,overcast clouds
22,Fernley,US,39.608,-119.2518,52.84,46,6,4.43,clear sky
23,Aykhal,RU,66.0,111.5,-39.1,100,100,5.84,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,69.91,92,100,13.85,light rain
25,Port Alfred,ZA,-33.5906,26.891,71.1,91,100,24.09,overcast clouds
26,Flinders,AU,-34.5833,150.8552,66.18,65,57,7.52,broken clouds
27,Tripoli,LY,32.8752,13.1875,55.33,53,0,16.89,clear sky
