City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,78.62,clear sky,-9.8,-139.0333,Villa Enata
10,Nizwa,OM,76.37,clear sky,22.9333,57.5333,Orient Apartments
15,Sisophon,KH,79.11,overcast clouds,13.5859,102.9737,Pyramid Hotel
25,Port Alfred,ZA,71.1,overcast clouds,-33.5906,26.891,The Halyards Hotel
32,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
34,Arraial Do Cabo,BR,71.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
39,Atambua,ID,77.14,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
42,Najran,SA,70.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
44,Byron Bay,AU,75.15,light rain,-28.65,153.6167,Backpackers Inn
45,Hilo,US,70.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
53,Key Largo,US,73.99,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
56,The Valley,AI,79.11,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
65,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
68,Phalodi,IN,78.62,few clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
70,Rikitea,PF,75.63,overcast clouds,-23.1203,-134.9692,People ThankYou
80,San Patricio,US,73.89,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
86,Saint Peter,BB,77.56,scattered clouds,13.25,-59.6167,Legend Garden Condos
96,Sumenep,ID,79.56,moderate rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
100,Buraydah,SA,75.79,clear sky,26.326,43.975,فندق راحة السلام
126,Yazman,PK,78.46,clear sky,29.1212,71.7446,Jamal sons showroom
131,Acapulco,MX,76.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
134,Abha,SA,71.85,clear sky,18.2164,42.5053,Abha Hotel
140,Bengkulu,ID,77.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
141,Catamarca,AR,72.5,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
151,Cape Town,ZA,70.12,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
162,Pimenta Bueno,BR,72.63,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
179,Qui Nhon,VN,73.6,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
181,Namatanai,PG,78.58,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
185,Victoria,HK,73.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
195,Odweyne,SO,77.86,clear sky,9.4092,45.064,Eng Hiirey House
197,Sao Joao Da Barra,BR,70.05,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
199,Porto Seguro,BR,73.92,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
212,Ixtapa,MX,74.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
224,Sao Jose Da Coroa Grande,BR,77.54,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
231,Mapastepec,MX,75.06,clear sky,15.4333,-92.9,Hotel San Carlos
